C_MENU,C_REC,NAME_REC,ENDS
"F","(","особо малый класс",0
"F",")","малый класс",0
"F","*","средний класс",0
"F","+","большой класс",0
"H","*","дежурная часть",0
"H","+","следственный отдел",0
"H",",","участковая инспекция",0
"H","-","отдел кадров",0
"H",".","ФПО",0
"H","/","ИЦ",0
"H","<","ИВС",0
"H","1","рота ПСМ",0
"H","Z","ОПиРУИМ",0
"I","*","ХОЗУ МВД СССР",0
,"(","Штатная положенность",1
"(","*","Кадры",0
,",","Единица измерения",0
",","+","кг.",0
",",")","литр",0
",","*","метр",0
,"-","Назначение материалов со склада",0
"-","(","Автомобили",0
"-",")","Мотоциклы",0
"-","*","Катера",0
"-","+","Заказы",0
"-",",","Реализация",0
",","(","шт.",0
,".","Список организаций",0
"D",",","открытый",0
"D","-","закрытый",0
"D",":","вагонного типа",1
"D","1","бортовой",0
"E","1","ПЯФЛ",0
"E","2","АПРС",0
"E","3","АОТА",0
"E","4","АТН",0
"E","5","АТНС",0
"E","6","ПКЛ",0
"E","7","СМ 8/2 шифровальная",0
"E","8","РРС радиостанция",0
"I","+","ГУМТ и ВС МВД СССР",0
"I",",","СК ОУМТ и ВС МВД СССР",0
"I","-","Руководство УВД Ростоблисполкома",0
"J","-","Учер. УЗ-62/14 Горьковского УИТУ",0
"J",".","Военсклад 59 МВД СССР",0
"J","/","Военсклад 68 МВД СССР",0
"J","0","ЦОВБ МВД СССР",0
"J","3","Центральной автобазы МВД СССР",0
"J","1","7-е Управление МВД СССР",0
"J","2","Завода изготовителя",0
"J","4","УО УВД Ростоблисполкома",0
"J","5","Учер. 398/17 УВД Ростоблисполкома.",0
"J","6","Областной совет ""Динамо"".",0
"J",":","Кооператив ""Строитель""",0
"J","8","Миллеровского сельхоз техникума.",0
"J","9","Предприятия п.я. А-3565.",0
"I","0","7-е Управление МВД СССР",0
"I","(","Ростовский облисполком",0
"J","(","Зимовниковский конный завод",0
"J",")","Совхоз ""Роговский"".",0
"J","*","Колхоз ""Дзержинского"".",0
"J","+","Колхоз ""Заветы Ильича"".",0
"J",",","Спец.склад резерва МВД СССР",0
"H","3","медицинский вытрезвитель",0
"F",",",,0
"G","1","хаки",0
"G","2","бежевый",0
"H","4","поликлиника",0
"H","5","инспекция по личн.составу",0
"H","6","больница",0
"H","7","руководство УВД /ОВД/",0
"E","9","Автобус",0
